ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,99.107712,84.13473415016657,110.62335469486743,99.107712,99.107712,-1.7199673850720423,-1.7199673850720423,-1.7199673850720423,-0.3432432399192433,-0.3432432399192433,-0.3432432399192433,-1.3767241451527987,-1.3767241451527987,-1.3767241451527987,0.0,0.0,0.0,97.38774461492797
2021-01-02,99.10852250775139,85.58334735783372,110.55124898049337,99.10852250775139,99.10852250775139,-0.9364524600860347,-0.9364524600860347,-0.9364524600860347,0.2738349074560569,0.2738349074560569,0.2738349074560569,-1.2102873675420915,-1.2102873675420915,-1.2102873675420915,0.0,0.0,0.0,98.17207004766536
2021-01-03,99.10933301550274,83.95568213112792,110.78262121257517,99.10933301550274,99.10933301550274,-1.021426944435094,-1.021426944435094,-1.021426944435094,0.030053490730245006,0.030053490730245006,0.030053490730245006,-1.051480435165339,-1.051480435165339,-1.051480435165339,0.0,0.0,0.0,98.08790607106765
2021-01-04,99.11014352325412,85.5579487988376,110.41402820685254,99.11014352325412,99.11014352325412,-1.6553126917216412,-1.6553126917216412,-1.6553126917216412,-0.750142677460835,-0.750142677460835,-0.750142677460835,-0.9051700142608061,-0.9051700142608061,-0.9051700142608061,0.0,0.0,0.0,97.45483083153248
2021-01-05,99.11095403100548,85.14347143540292,111.66240939903986,99.11095403100548,99.11095403100548,-0.24274438841007695,-0.24274438841007695,-0.24274438841007695,0.5330309144292766,0.5330309144292766,0.5330309144292766,-0.7757753028393536,-0.7757753028393536,-0.7757753028393536,0.0,0.0,0.0,98.8682096425954
2021-01-06,99.11176453875686,85.42968504131943,111.8507701033414,99.11176453875686,99.11176453875686,-0.7312751868955362,-0.7312751868955362,-0.7312751868955362,-0.06412971523848705,-0.06412971523848705,-0.06412971523848705,-0.6671454716570491,-0.6671454716570491,-0.6671454716570491,0.0,0.0,0.0,98.38048935186133
2021-01-07,99.11257504650824,85.24178021119991,111.21513529958537,99.11257504650824,99.11257504650824,-0.2618569008878631,-0.2618569008878631,-0.2618569008878631,0.32059632000117144,0.32059632000117144,0.32059632000117144,-0.5824532208890346,-0.5824532208890346,-0.5824532208890346,0.0,0.0,0.0,98.85071814562038
2021-01-08,99.1133855542596,85.99132425798658,111.8726771149152,99.1133855542596,99.1133855542596,-0.8673505250933057,-0.8673505250933057,-0.8673505250933057,-0.34324323991835554,-0.34324323991835554,-0.34324323991835554,-0.5241072851749502,-0.5241072851749502,-0.5241072851749502,0.0,0.0,0.0,98.2460350291663
2021-01-09,99.11419606201098,85.06469591213042,113.505390556057,99.11419606201098,99.11419606201098,-0.2198512904009472,-0.2198512904009472,-0.2198512904009472,0.273834907455352,0.273834907455352,0.273834907455352,-0.4936861978562992,-0.4936861978562992,-0.4936861978562992,0.0,0.0,0.0,98.89434477161002
2021-01-10,99.11500656976234,85.40376296285227,112.23746311035069,99.11500656976234,99.11500656976234,-0.4618415513117036,-0.4618415513117036,-0.4618415513117036,0.030053490732886788,0.030053490732886788,0.030053490732886788,-0.49189504204459045,-0.49189504204459045,-0.49189504204459045,0.0,0.0,0.0,98.65316501845064
2021-01-11,99.11581707751371,84.38620491508325,110.38724839419022,99.11581707751371,99.11581707751371,-1.2686889651912105,-1.2686889651912105,-1.2686889651912105,-0.7501426774618695,-0.7501426774618695,-0.7501426774618695,-0.518546287729341,-0.518546287729341,-0.518546287729341,0.0,0.0,0.0,97.8471281123225
2021-01-12,99.11662758526509,86.53480150574875,112.01266378136872,99.11662758526509,99.11662758526509,-0.03953424320673007,-0.03953424320673007,-0.03953424320673007,0.533030914428915,0.533030914428915,0.533030914428915,-0.5725651576356451,-0.5725651576356451,-0.5725651576356451,0.0,0.0,0.0,99.07709334205836
2021-01-13,99.11743809301646,85.06011684401453,111.57418222611574,99.11743809301646,99.11743809301646,-0.716149013268659,-0.716149013268659,-0.716149013268659,-0.06412971523855862,-0.06412971523855862,-0.06412971523855862,-0.6520192980301004,-0.6520192980301004,-0.6520192980301004,0.0,0.0,0.0,98.4012890797478
2021-01-14,99.11824860076783,85.57411450499988,112.34357144633657,99.11824860076783,99.11824860076783,-0.43357555231478384,-0.43357555231478384,-0.43357555231478384,0.3205963199987067,0.3205963199987067,0.3205963199987067,-0.7541718723134906,-0.7541718723134906,-0.7541718723134906,0.0,0.0,0.0,98.68467304845305
2021-01-15,99.1190591085192,84.43681761514527,111.71397922362742,99.1190591085192,99.1190591085192,-1.2187998029564366,-1.2187998029564366,-1.2187998029564366,-0.34324323991746764,-0.34324323991746764,-0.34324323991746764,-0.875556563038969,-0.875556563038969,-0.875556563038969,0.0,0.0,0.0,97.90025930556276
2021-01-16,99.11986961627058,84.46687572107375,110.3882597762217,99.11986961627058,99.11986961627058,-0.7382374715990896,-0.7382374715990896,-0.7382374715990896,0.27383490745793443,0.27383490745793443,0.27383490745793443,-1.012072379057024,-1.012072379057024,-1.012072379057024,0.0,0.0,0.0,98.38163214467149
2021-01-17,99.12068012402194,85.45803120866705,111.22690145944044,99.12068012402194,99.12068012402194,-1.1290421441377023,-1.1290421441377023,-1.1290421441377023,0.030053490733170585,0.030053490733170585,0.030053490733170585,-1.159095634870873,-1.159095634870873,-1.159095634870873,0.0,0.0,0.0,97.99163797988425
2021-01-18,99.12149063177331,84.84201728673605,110.54025368510126,99.12149063177331,99.12149063177331,-2.0617486906571587,-2.0617486906571587,-2.0617486906571587,-0.7501426774599447,-0.7501426774599447,-0.7501426774599447,-1.3116060131972145,-1.3116060131972145,-1.3116060131972145,0.0,0.0,0.0,97.05974194111616
