ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,population,population_lower,population_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,98.884104,82.83917329968784,109.6465623834632,98.884104,98.884104,-2.0713533300660476,-2.0713533300660476,-2.0713533300660476,-0.3606577857452909,-0.3606577857452909,-0.3606577857452909,-0.14805899286466168,-0.14805899286466168,-0.14805899286466168,-0.21259879288062922,-0.21259879288062922,-0.21259879288062922,-0.32056341957318985,-0.32056341957318985,-0.32056341957318985,-1.3901321247475666,-1.3901321247475666,-1.3901321247475666,0.0,0.0,0.0,96.81275066993395
2021-01-02,98.88540458610603,84.72082036129878,110.63295421238557,98.88540458610603,98.88540458610603,-1.0405720749720688,-1.0405720749720688,-1.0405720749720688,-0.0856523715482351,-0.0856523715482351,-0.0856523715482351,-0.14807928881981786,-0.14807928881981786,-0.14807928881981786,0.06242691727158276,0.06242691727158276,0.06242691727158276,0.2675937209292546,0.2675937209292546,0.2675937209292546,-1.2225134243530884,-1.2225134243530884,-1.2225134243530884,0.0,0.0,0.0,97.84483251113396
2021-01-03,98.88670517221206,83.9165617021005,110.35362157672706,98.88670517221206,98.88670517221206,-1.1032523314307934,-1.1032523314307934,-1.1032523314307934,-0.06913675357004567,-0.06913675357004567,-0.06913675357004567,-0.14809958477497417,-0.14809958477497417,-0.14809958477497417,0.0789628312049285,0.0789628312049285,0.0789628312049285,0.028243006811175527,0.028243006811175527,0.028243006811175527,-1.0623585846719232,-1.0623585846719232,-1.0623585846719232,0.0,0.0,0.0,97.78345284078127
2021-01-04,98.88800575831809,84.42602294771972,109.80652580908249,98.88800575831809,98.88800575831809,-1.8749348403627275,-1.8749348403627275,-1.8749348403627275,-0.21102747182555537,-0.21102747182555537,-0.21102747182555537,-0.14811988073013033,-0.14811988073013033,-0.14811988073013033,-0.06290759109542504,-0.06290759109542504,-0.06290759109542504,-0.749352437490882,-0.749352437490882,-0.749352437490882,-0.9145549310462902,-0.9145549310462902,-0.9145549310462902,0.0,0.0,0.0,97.01307091795536
2021-01-05,98.88930634442413,85.9027211686687,112.77986485437445,98.88930634442413,98.88930634442413,-0.3646720604269026,-0.3646720604269026,-0.3646720604269026,-0.10185400880401946,-0.10185400880401946,-0.10185400880401946,-0.14814017668528653,-0.14814017668528653,-0.14814017668528653,0.046286167881267076,0.046286167881267076,0.046286167881267076,0.5207276461469681,0.5207276461469681,0.5207276461469681,-0.7835456977698512,-0.7835456977698512,-0.7835456977698512,0.0,0.0,0.0,98.52463428399723
2021-01-06,98.89060693053015,84.40322383309085,111.53766955851408,98.89060693053015,98.89060693053015,-0.8758059328425374,-0.8758059328425374,-0.8758059328425374,-0.12998573678337702,-0.12998573678337702,-0.12998573678337702,-0.14816047264044285,-0.14816047264044285,-0.14816047264044285,0.01817473585706585,0.01817473585706585,0.01817473585706585,-0.07261327682628277,-0.07261327682628277,-0.07261327682628277,-0.6732069192328777,-0.6732069192328777,-0.6732069192328777,0.0,0.0,0.0,98.01480099768762
2021-01-07,98.8919075166362,84.7604103092891,111.14774447612663,98.8919075166362,98.8919075166362,-0.5038087486231468,-0.5038087486231468,-0.5038087486231468,-0.24303314672771612,-0.24303314672771612,-0.24303314672771612,-0.14818076859559906,-0.14818076859559906,-0.14818076859559906,-0.09485237813211705,-0.09485237813211705,-0.09485237813211705,0.3259647600011117,0.3259647600011117,0.3259647600011117,-0.5867403618965424,-0.5867403618965424,-0.5867403618965424,0.0,0.0,0.0,98.38809876801305
2021-01-08,98.89320810274222,85.4790495066578,111.51127227171133,98.89320810274222,98.89320810274222,-0.7495961581055004,-0.7495961581055004,-0.7495961581055004,0.09755260841276164,0.09755260841276164,0.09755260841276164,-0.14820106455075524,-0.14820106455075524,-0.14820106455075524,0.24575367296351688,0.24575367296351688,0.24575367296351688,-0.32056341957231177,-0.32056341957231177,-0.32056341957231177,-0.5265853469459503,-0.5265853469459503,-0.5265853469459503,0.0,0.0,0.0,98.14361194463672
2021-01-09,98.89450868884825,86.0104954910285,111.92288307235616,98.89450868884825,98.89450868884825,-0.544233744519349,-0.544233744519349,-0.544233744519349,-0.317475672353452,-0.317475672353452,-0.317475672353452,-0.1482213605059114,-0.1482213605059114,-0.1482213605059114,-0.1692543118475406,-0.1692543118475406,-0.1692543118475406,0.26759372092854294,0.26759372092854294,0.26759372092854294,-0.4943517930944399,-0.4943517930944399,-0.4943517930944399,0.0,0.0,0.0,98.3502749443289
2021-01-10,98.89580927495429,85.89536357557932,111.56755265863521,98.89580927495429,98.89580927495429,-0.61986880966831,-0.61986880966831,-0.61986880966831,-0.15733558972197378,-0.15733558972197378,-0.15733558972197378,-0.14824165646106774,-0.14824165646106774,-0.14824165646106774,-0.009093933260906033,-0.009093933260906033,-0.009093933260906033,0.028243006813782962,0.028243006813782962,0.028243006813782962,-0.49077622676011906,-0.49077622676011906,-0.49077622676011906,0.0,0.0,0.0,98.27594046528598
