Zone,Area,Leak,Water Flow Rate,Pressure,Temperature,Pipe Diameter,Distance from Pump Station
North Zone,Tondiarpet,1,108.22748319730648,122.12112377933357,105.49526165558304,89.97058943752978,92.7089899914664
North Zone,Tondiarpet,0,106.28402837259023,111.64642539188965,101.71528358188479,113.08820465052257,97.98710559909063
North Zone,Tondiarpet,0,90.5882935639419,103.82647195763059,112.00683852118631,88.64379214393125,100.49931710994466
North Zone,Tondiarpet,0,112.20770591432229,99.81632735602855,106.64926646709122,96.77909872840065,98.66249135534811
North Zone,Tondiarpet,0,97.15832177702939,101.24037736098775,86.5309859663999,96.0353100330153,92.67693002736189
North Zone,Tondiarpet,0,102.11206512763928,90.33378498596673,127.74180882053426,88.07016715692012,77.54360683970498
North Zone,Tondiarpet,0,109.07666429842111,84.38511237724596,98.07043070517595,112.71503402715331,106.65513536085454
North Zone,Tondiarpet,0,114.24480452689002,84.65380789732309,106.00193928632362,97.24098447170144,108.10932269141117
North Zone,Tondiarpet,0,101.9408598528844,107.95187552211085,97.22560504603427,100.57479061789658,110.5079782450276
North Zone,Tondiarpet,0,109.34643904442245,94.77490639124154,95.227372624814,102.16196347860695,74.9511360326162
North Zone,Tondiarpet,0,110.94971066137545,90.65913825386964,109.74945998057123,95.79122706157986,100.0967409596428
North Zone,Tondiarpet,0,106.47085196654024,100.84290623326699,106.94305849008903,97.52473585216752,106.69895529676013
North Zone,Tondiarpet,0,107.71608147174358,82.49455155155937,116.2578735925937,111.76595475092415,96.16809121653219
North Zone,Tondiarpet,0,97.9919609857978,93.50130792019444,101.10785852727686,101.70721914128235,86.40401642495135
North Zone,Tondiarpet,0,106.3818008139698,88.05730922117186,98.98735526626939,111.3034961984422,104.863793827145
North Zone,Tondiarpet,0,105.96388061532296,79.04065516287942,78.70818326155201,98.96753559869774,85.85741449616364
North Zone,Tondiarpet,0,93.39066200225233,87.65919666120924,83.28527650267148,100.94952132284726,101.38828302688124
North Zone,Tondiarpet,0,80.78126397808889,93.78673999089357,102.76340180126537,103.7170505187085,99.10104076180164
North Zone,Tondiarpet,1,108.6574891743305,115.77822862001433,124.98730441531615,83.95652376170548,91.55008299268763
North Zone,Tondiarpet,0,93.01543869325437,106.25776978004947,120.4839152178659,99.77376896772985,87.18781208821547
North Zone,Tondiarpet,0,96.03772678195205,120.24724019847767,98.15893993674857,113.08201341697938,107.17111631512266
North Zone,Tondiarpet,0,108.20013522372545,106.3099446734985,107.28976885152328,93.28746629717497,89.41026132304555
North Zone,Tondiarpet,0,111.30002048914365,129.53412931243136,84.06365014277405,84.35840307583977,83.54925003626329
North Zone,Tondiarpet,0,104.25130904298673,105.8190064257903,99.09253211423389,108.46037641782941,104.21669148511788
North Zone,Tondiarpet,0,114.34223311968933,88.66567972875251,105.19658839849677,102.45128499425788,94.62957471619974
North Zone,Tondiarpet,0,71.43239538046748,92.6101648927889,91.81556221512587,93.65205329739017,103.96992934578174
North Zone,Tondiarpet,1,103.97365003069486,95.3749504795156,98.42939935120283,104.99531938153584,106.958519367211
North Zone,Tondiarpet,0,87.70171097051903,88.79485117897457,101.39560986409437,89.59560106002772,103.12891663191957
North Zone,Tondiarpet,0,96.17021039849645,96.09378809611745,111.27402347063042,95.70789367932755,100.89856923125575
North Zone,Tondiarpet,0,95.87517091667549,86.02775436188155,119.11907976003707,95.24564342531458,113.82436812771061
North Zone,Tondiarpet,0,106.99750809302115,119.97311252797806,99.78170566066517,102.88321128964506,124.35393702457154
North Zone,Tondiarpet,1,103.27194379292979,111.13693423562601,97.11609545692406,110.13541620792837,94.02180384148265
North Zone,Tondiarpet,0,96.8870332087019,102.76459503764204,88.77936539478833,89.72934282827191,88.64547748350772
